"Word","Frequency"
"ability",1
"able",23
"abounds",1
"absent",1
"absolute",1
"academic",1
"acceptable",1
"accidental",1
"accommodation",1
"account",1
"accounts",1
"action",18
"actual",1
"adjourned",1
"adorable",1
"advance",25
"advances",11
"advancing",23
"advantage",1
"advice",18
"aftermath",18
"against",18
"aggressive",1
"agree",11
"ahead",25
"aid",1
"alarm",1
"almost",29
"amazing",31
"amend",1
"amended",1
"amending",1
"amendment",8
"amendments",23
"amends",1
"anger",1
"angry",1
"announcement",11
"annoyed",1
"apology",1
"appeals",18
"applause",25
"appreciate",11
"appreciated",18
"approval",11
"apt",1
"arrive",18
"ash",18
"ashes",11
"assault",1
"assessment",18
"assets",1
"assistance",33
"associate",1
"association",1
"assures",1
"attempt",1
"auction",23
"audience",1
"aunt",1
"available",29
"award",11
"awarded",25
"awe",1
"awesome",5
"bad",23
"balance",1
"ban",1
"bang",1
"bank",1
"battle",31
"battled",11
"battlefield",1
"bear",11
"beast",23
"beautiful",23
"beauty",18
"believe",1
"believes",11
"beloved",1
"benefit",23
"benefits",1
"benefitted",1
"best",5
"better",29
"beverage",11
"black",1
"blame",1
"blaze",25
"bloom",1
"board",11
"boom",18
"boost",29
"bottom",1
"boy",1
"brave",1
"bravery",1
"break",29
"breakfast",1
"breathtaking",1
"bridge",18
"brilliant",1
"broken",1
"brunt",1
"buddy",1
"budget",10
"build",11
"building",29
"burden",23
"bureaucracy",1
"burn",11
"burned",29
"burning",23
"burns",1
"burnt",1
"bust",1
"butt",11
"bylaw",7
"calls",11
"cancel",29
"cancellation",1
"cancellations",1
"cancelling",18
"cancer",23
"case",25
"cash",25
"cashback",1
"catch",11
"celebrate",23
"celebrated",11
"celebration",18
"celebrity",1
"challenge",1
"challenged",1
"chance",31
"change",1
"chaplain",1
"charitable",6
"charity",1
"cheer",1
"cherish",1
"choice",11
"chosen",11
"cigarette",1
"citizen",11
"claim",23
"claims",8
"clarification",1
"classic",1
"classy",1
"clean",1
"cleaning",7
"clear",23
"clock",11
"closed",11
"closure",11
"cloud",11
"coerced",1
"cold",1
"collapse",1
"comfort",11
"coming",35
"commemorative",17
"commitment",18
"committed",11
"committee",14
"communication",1
"community",21
"companion",1
"compassion",1
"compassionate",1
"competent",1
"competitive",1
"complaints",1
"complements",1
"completely",18
"complex",11
"complicates",1
"comprehend",1
"concern",11
"concerned",18
"concerns",33
"condemn",1
"confident",1
"confusing",1
"confusion",1
"consent",1
"considerable",1
"contact",23
"contingent",1
"continue",25
"contract",33
"convinced",1
"cool",1
"copy",35
"costly",11
"could",15
"council",22
"count",1
"courage",11
"courageous",11
"court",18
"courtesy",1
"cover",23
"credit",1
"crew",1
"crime",1
"crisis",1
"critical",18
"criticism",1
"criticizing",1
"crude",1
"cuddle",1
"customer",1
"cut",1
"damage",24
"damaged",31
"damages",5
"damaging",1
"danger",18
"dark",1
"deal",1
"death",1
"debate",18
"debris",15
"debt",1
"decline",11
"declining",23
"decrease",2
"defer",6
"deferral",35
"deficit",1
"degrade",1
"delay",29
"delayed",11
"delaying",1
"delegate",18
"delicious",1
"delivery",1
"demand",18
"democracy",1
"demolition",8
"demolitions",11
"depend",1
"depends",11
"deserve",18
"despair",11
"despite",11
"destroyed",5
"destruction",1
"determination",1
"determined",11
"devastating",11
"devastation",23
"differential",1
"differently",11
"difficult",11
"dignity",1
"diligence",1
"director",1
"dirty",1
"disappointed",1
"disaster",30
"disasters",23
"discrepancy",1
"discussion",1
"disease",1
"dismisses",1
"displaced",11
"displacement",1
"disrespectful",1
"divert",1
"donation",16
"downgraded",18
"draft",1
"drags",11
"dropped",1
"drought",1
"duly",1
"dump",18
"dumping",11
"dumps",1
"dun",1
"ease",11
"easier",18
"easy",1
"economy",3
"edition",19
"educational",1
