"Word","Frequency"
"abacus",1
"abandon",87
"abandoned",283
"abandoning",146
"abandonment",1
"abiding",93
"ability",87
"able",188
"abnormal",146
"abnormally",1
"abolish",1
"abounds",1
"abrasive",1
"abrupt",146
"absence",1
"absent",146
"absolute",80
"absorbed",93
"absurd",177
"absurdity",1
"abundance",146
"abundant",1
"abuse",1
"abysmal",93
"academy",93
"accelerate",93
"acceptable",231
"accessible",266
"accident",94
"accidentally",231
"accidents",93
"acclaim",1
"accommodation",8
"accomplish",207
"accomplished",177
"accomplishment",146
"account",36
"accountability",146
"accountable",93
"accounts",149
"accredited",93
"accurate",135
"accurately",1
"accusations",177
"accuse",1
"accused",99
"accuses",146
"accusing",93
"ache",93
"aches",99
"achieve",177
"achieved",146
"achievement",146
"achieving",1
"aching",177
"acid",1
"acquiesce",1
"acquiescing",1
"acquire",1
"acquiring",1
"action",35
"actual",99
"adapt",177
"adaptable",1
"addicted",1
"addiction",1
"addresses",99
"adequate",2
"adequately",1
"adhering",1
"adjourn",1
"adjourned",146
"adjourning",1
"adjudicator",1
"administrative",1
"admirable",93
"admirably",93
"admiration",249
"admire",249
"admirer",1
"admiring",1
"admission",3
"admissions",146
"adorable",207
"adore",146
"advance",127
"advanced",282
"advancement",1
"advancements",1
"advances",93
"advancing",146
"advantage",176
"advantageous",1
"adventure",231
"adversary",1
"adversely",1
"adversity",249
"advice",276
"advise",114
"advised",227
"advocacy",1
"advocate",1
"advocated",1
"advocates",1
"affinity",16
"afflicted",93
"affliction",1
"afford",87
"affordable",146
"afraid",37
"aftermath",257
"against",283
"aggravate",1
"aggressive",249
"agonizing",1
"agree",259
"agreed",207
"agreement",177
"agriculture",93
"ahead",79
"aid",109
"aiding",282
"ailing",93
"airport",193
"airs",146
"akin",1
"alarm",207
"alarming",249
"alb",1
"alerting",146
"alerts",58
"alienating",1
"alive",200
"allegations",146
"allege",1
"alleged",207
"allegedly",131
"allergies",231
"allergy",1
"alleviate",1
"alliance",93
"allure",1
"ally",1
"almighty",1
"almost",43
"amaze",282
"amazed",149
"amazement",1
"amazes",177
"amazing",269
"amazingly",1
"ambassador",1
"ambitious",231
"ambulance",146
"amen",93
"amend",93
"amends",1
"amenity",1
"ample",93
"amused",1
"amusing",1
"analyst",282
"ancestral",146
"anchor",177
"ancient",1
"angel",231
"anger",282
"angry",64
"anguish",1
"animated",1
"announcement",227
"annoy",1
"annoyed",207
"annoying",249
"anomalies",1
"anomaly",1
"anonymous",231
"anticipate",282
"anticipated",26
"anticipates",146
"anticipating",1
"anticipation",146
"anticorruption",1
"anxiety",114
"anxious",99
"anxiously",93
"apocalypse",48
"apocalyptic",211
"apologize",48
"apology",16
"appall",1
"appalled",1
"appalling",146
"apparent",37
"apparently",186
"apparition",1
"appeal",203
"appealing",207
"appeals",282
"appear",131
"appeared",207
"appearing",177
"appears",242
"applaud",249
"applause",2
"appreciate",13
"appreciated",31
"appreciates",282
"appreciation",131
"appreciative",207
"apprehensive",93
"apprentice",1
"approaching",141
"appropriate",122
"approval",266
"approve",146
"approving",1
"approximate",177
"approximately",176
"apt",37
"arbitrary",1
"argue",266
"argued",1
"arguing",231
"argument",2
"arguments",177
"armed",26
"array",1
"arrest",266
"arrested",2
"arrival",64
"arrive",34
"arrogance",146
"arrogant",93
"arsenic",146
"arson",141
"art",13
"articulate",93
"artiste",1
"ash",271
"ashamed",80
"ashes",200
"aspire",93
"ass",166
"assault",249
"assembly",1
"assessment",290
"assets",174
"asshole",122
"assist",154
"assistance",237
"associate",1
"association",177
"assume",26
"assumed",146
"assuming",231
"assurance",266
"assurances",146
"assure",207
"assured",282
"assures",146
"assuring",1
"astonished",1
"astonishing",282
"astound",1
"astounded",1
"astounding",282
"astoundingly",93
"astronaut",1
"atheism",93
"athletic",177
"atrocity",1
"attack",122
"attacking",2
"attacks",177
"attempt",114
"attendance",93
"attendant",146
"attention",219
"attentive",1
"attest",146
"attraction",177
"attractive",1
"attrition",1
"auction",275
"audibly",1
"audience",249
"augment",177
"aunt",26
"aura",231
"austere",1
"authentic",177
"authenticate",1
"authenticity",1
"author",282
"authority",266
"authorization",93
"authorized",2
"automatic",266
"available",247
"avalanche",146
"avatar",1
"averse",93
"avoid",192
"avoiding",177
"await",266
"award",48
"awarded",93
"awards",177
"awe",131
"awed",1
"awesome",129
"awesomeness",231
"awestruck",93
"awful",283
"awkward",207
"awsome",1
"ay",93
"aye",1
"baboon",1
"baby",57
"backbone",1
"backdating",1
"backward",1
"backwards",177
"bad",151
"badge",1
"badger",1
"badly",118
"baffled",146
"bail",37
"bailout",1
"bait",146
"balance",2
"balanced",146
"bale",1
"ban",95
"bandit",1
"bang",93
"banger",93
"bank",189
"bankrupt",177
"banquet",1
"bans",106
"barbarian",1
"barred",93
"barren",1
"barricade",26
"barrier",282
"barriers",93
"base",195
"baseless",1
"bash",93
"bashing",207
"basketball",146
"bastard",1
"bastards",1
"bath",282
"batter",1
"battery",207
"battle",90
"battled",16
"beach",249
"beam",93
"bear",16
"beast",45
"beastly",177
"beating",207
"beautification",1
"beautiful",38
"beautifully",207
"beauty",127
"beer",284
"befall",1
"beg",93
"begging",93
"begun",186
"belated",1
"believe",110
"believed",160
"believer",1
"believes",58
"believing",146
"belittle",1
"beloved",87
"belt",93
"beneficial",146
"beneficiary",93
"benefit",91
"benefited",146
"benefiting",1
"benefits",211
"benefitted",1
"benefitting",207
"benevolence",1
"benevolent",1
"benign",1
"bereavement",1
"best",241
"better",161
"beverage",1
"beware",177
"biblical",177
"bicker",93
"bickering",146
"bigotry",146
"birch",1
"birth",196
"birthday",99
"birthplace",177
"bitch",58
"bite",266
"biting",1
"bitter",207
"bitterness",1
"bizarre",106
"blabber",1
"black",184
"blame",243
"blameworthy",1
"blanket",73
"blast",177
"blasted",93
"blatant",93
"blatantly",93
"blather",1
"blaze",88
"bleak",93
"bleed",1
"bleeding",1
"bleeds",1
"bless",278
"blessed",174
"blessing",58
"blessings",2
"blind",146
"blinding",1
"blindingly",1
"blindly",1
"bliss",1
"blitz",93
"blob",1
"blockade",106
"bloody",207
"bloom",93
"blow",118
"blue",118
"blues",266
"blur",177
"board",259
"boggle",1
"bogus",1
"boil",235
"bold",207
"bomb",146
"bombardment",1
"bombed",146
"bomber",149
"bonanza",1
"bonds",146
"bonne",2
"bonus",177
"boo",93
"boom",266
"booming",1
"boost",131
"boosted",249
"booze",1
"bore",1
"bored",249
"boredom",249
"boring",1
"borrower",1
"bother",16
"bothered",93
"bothers",93
"bothersome",1
"bottom",160
"bound",160
"bounded",93
"bout",37
"boxing",177
"boy",224
"boycott",207
"brag",146
"brainless",1
"brains",1
"brave",74
"bravery",141
"bravo",177
"breach",249
"breached",147
"breaches",146
"breaching",231
"break",90
"breakdown",177
"breakfast",74
"breaking",61
"breaks",47
"breakup",146
"breathtaking",2
"breeze",93
"bridal",146
"bride",249
"bridesmaid",93
"bridge",160
"brigade",93
"bright",106
"brighten",207
"brighter",231
"brightest",1
"brightness",1
"brilliant",37
"brisk",93
"broke",127
"broken",192
"brother",289
"brotherhood",146
"brunt",93
"brutal",73
"brutally",93
"brutish",1
"bs",177
"buck",207
"buddy",147
"budget",232
"bug",220
"bugs",231
"build",155
"building",274
"bulletproof",1
"bullshit",99
"bullying",177
"bummer",1
"bump",146
"bumped",1
"bumps",1
"bunk",93
"bunker",93
"burden",37
"burdens",1
"bureaucracy",1
"buried",1
"burn",144
"burned",151
"burning",214
"burns",29
"burnt",17
"bursary",177
"bury",177
"bust",231
"busts",1
"butt",37
"bye",231
"bylaw",231
"cab",1
"cabinet",160
"cable",282
"cafe",207
"cage",207
"calamity",1
"calculation",93
"callous",146
"calls",47
"calm",15
"calming",1
"camouflage",1
"campaigning",1
"canary",93
"cancel",48
"canceled",177
"cancellation",93
"cancellations",93
"cancelled",250
"cancelling",1
"cancels",146
"cancer",94
"candid",93
"candidate",87
"cane",1
"cannon",1
"canons",1
"cap",147
"capability",249
"capable",106
"capitalist",1
"captain",231
"captivate",1
"captivating",1
"capture",37
"career",16
"careful",220
"carefully",282
"careless",249
"carelessness",1
"caricature",1
"carnage",80
"case",34
"cash",112
"cashier",249
"casualty",146
"cataclysmic",1
"catastrophe",176
"catastrophes",1
"catastrophic",195
"catch",203
