"Word","Frequency"
"abandoning",1
"able",24
"abyss",8
"accelerate",1
"account",1
"adapt",1
"admissible",1
"adorable",1
"advance",1
"afraid",1
"aftermath",1
"ahead",13
"airport",1
"alarming",1
"amazing",21
"anxiety",15
"apocalypse",8
"applaud",1
"appreciates",1
"appreciative",1
"apprehension",1
"apprentice",1
"argue",21
"art",13
"ashes",8
"assets",1
"auction",20
"author",1
"available",13
"award",8
"awards",1
"baby",1
"balance",1
"battle",1
"battled",8
"beast",21
"beautiful",15
"believe",5
"best",18
"better",15
"birthday",15
"blessed",1
"blessing",1
"bout",1
"brave",8
"bravery",1
"breached",1
"break",1
"building",20
"bullshit",1
"bureaucracy",8
"burn",8
"burned",23
"burning",8
"burns",1
"burnt",13
"calls",1
"cancelled",15
"capture",8
"catch",1
"celebrate",1
"celebrating",1
"ceremony",8
"challenges",24
"champ",1
"chance",1
"chaos",8
"charity",21
"choice",8
"claims",1
"cleared",13
"clown",1
"collaboration",1
"comfort",8
"coming",20
"commemorate",8
"commemoration",8
"commitment",1
"committed",1
"committee",1
"communicate",1
"community",17
"completely",1
"complexity",1
"complicated",1
"constant",1
"continue",13
"contracts",8
"contribution",1
"cool",1
"cooperation",1
"couch",1
"could",20
"courage",1
"courageous",1
"crash",1
"craziness",1
"crazy",8
"create",1
"credit",1
"crew",21
"crisis",21
"critical",8
"crushed",1
"cry",1
"crying",1
"cunt",1
"damage",1
"damaged",13
"daughter",1
"deal",1
"death",1
"debris",1
"dedicated",1
"dedication",1
"defeat",1
"dementia",1
"deserve",8
"destroyed",15
"destruction",1
"destructive",13
"determined",13
"devastating",20
"devastation",1
"died",1
"difficult",8
"diligence",1
"disaster",2
"disbelief",1
"discussion",8
"displaced",18
"disposed",1
"doctor",8
"donation",8
"doubt",1
"downturn",1
"drag",1
"dread",1
"dropped",1
"easily",8
"easy",1
"edition",8
"effort",8
"eligible",1
"emergency",6
"emphasize",1
"encourage",1
"enjoyed",1
"enough",8
"escape",1
"escaped",13
"essential",8
"evacuate",15
"evacuation",10
"evident",1
"excellent",1
"expect",1
"expected",1
"expert",1
"extra",1
"fact",1
"faith",1
"fake",1
"fallout",1
"famous",1
"fans",1
"fantastic",1
"fast",13
"father",8
"fear",1
"feature",1
"feeling",1
"fellow",1
"fight",8
"fighting",8
"finally",1
"fire",19
"fled",15
"flee",13
"fleeing",1
"flees",15
"flood",1
"flying",1
"focus",1
"food",1
"fool",1
"football",1
"force",1
"forced",18
"forget",4
"fort",8
"forward",1
"foundation",1
"frantic",1
"free",8
"full",13
"fully",1
"fun",8
"gained",1
"gaining",1
"generosity",8
"generous",1
"generously",8
"gift",1
"giving",8
"good",24
"goon",1
"granted",1
"grateful",13
"gratitude",18
"great",2
"greatest",23
"grief",1
"ground",1
"growth",13
"guess",8
"hangs",1
"happiest",1
"hard",18
"harrowing",1
"hate",1
"healing",13
"hearing",1
"heck",1
"hell",1
"helped",16
"helping",18
"helpless",1
"heroic",1
"hidden",1
"hit",18
"hope",23
"hospital",8
"hot",1
"hug",1
"humble",1
"humor",1
"hurt",1
"hurting",1
"hurts",1
"immediately",1
"importance",13
"important",18
"improvisation",1
"inaccurate",1
"including",18
"incompetence",1
"incredible",20
"incredibly",1
"inferno",13
"information",20
"injuries",1
"innovative",1
"inquiry",1
"inspiring",1
"install",1
"intact",1
"intense",1
"interest",1
"interesting",1
"investigation",1
"involvement",1
"job",20
"join",13
"journalist",1
"journey",8
"joy",8
"killed",13
"kindness",1
"lack",1
"larger",1
"late",8
"lead",8
"leadership",13
"leading",8
"learn",13
"learning",1
"led",8
"legislature",1
"lesson",21
"letter",1
"leverage",1
"levity",1
"lie",1
"like",11
"liked",1
"limited",8
"limits",1
"lines",13
"linger",1
"litter",1
"long",18
"lose",1
"loss",21
"lost",12
"lottery",1
"love",13
"luck",1
"lucky",8
"mad",1
"magic",1
"main",1
"major",1
"management",13
"marked",1
"marriage",1
"may",13
"mayor",2
"military",1
"miss",15
"missed",8
"momentum",1
"money",1
"moral",8
"nation",1
"nearly",8
"negligence",1
"nice",20
"nicely",1
"nimble",1
"numbers",1
"offer",1
"official",1
"ongoing",8
"opportunity",1
"panicked",1
"partner",1
"patient",1
"patron",1
"peaceful",1
"permission",1
"perseverance",8
"personal",1
"pilot",1
"planning",1
"pleased",1
"population",8
"positive",18
"possible",8
"pray",8
"predict",1
"premier",13
"prepare",8
"prepared",13
"present",1
"president",1
"pretty",1
"prevent",1
"prevention",13
"privilege",1
"probably",1
"problem",1
"problems",1
"progress",8
"promised",1
"promises",1
"protect",1
"protected",1
"proud",24
"proven",1
"provide",1
"public",13
"pull",8
"question",13
"questions",1
"quiet",1
"rack",1
"radio",23
"raging",13
"ready",8
"real",21
"rebound",1
"recall",13
"recalling",1
"recalls",13
"receiving",1
"reclaim",1
"reconstruction",1
"recoup",1
"recover",1
"recovery",9
"related",1
"relaxed",1
"relief",23
"remains",1
"reporter",1
"rescue",1
"resilient",18
"resist",1
"resources",13
"respect",1
"respectful",1
"rest",8
"result",1
"right",20
"ripped",15
"rising",1
"risk",1
"risked",1
"risking",1
"rollercoaster",1
"sad",8
"safe",1
"saint",1
"salary",1
"salute",13
"school",1
"scientist",8
"seems",8
"series",18
"seriously",1
"severely",1
